[2023-10-15 14:05:10,574: INFO: main:welcome to our custom log]
[2023-10-15 14:20:39,399: INFO: main:welcome to our custom log]
[2023-10-20 19:48:12,604: INFO: common:yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:48:12,607: INFO: common:yaml file: params.yaml loaded successfully]
[2023-10-20 19:48:12,609: INFO: common:created directory at: artifacts]
[2023-10-20 19:48:12,611: INFO: common:created directory at: artifacts/data_ingestion]
[2023-10-20 19:48:12,613: INFO: 2624417567:Downloading data from https://drive.google.com/file/d/1tsyRtl3joEDI0wxU45PfeHb4_t-XRRK1/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2023-10-20 19:53:10,766: INFO: common:yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:53:10,770: INFO: common:yaml file: params.yaml loaded successfully]
[2023-10-20 19:53:10,771: INFO: common:created directory at: artifacts]
[2023-10-20 19:53:10,772: INFO: common:created directory at: artifacts/data_ingestion]
[2023-10-20 19:53:10,773: INFO: 84929902:Downloading data from https://drive.google.com/file/d/1tsyRtl3joEDI0wxU45PfeHb4_t-XRRK1/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2023-10-20 19:53:23,552: INFO: common:yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:53:23,555: INFO: common:yaml file: params.yaml loaded successfully]
[2023-10-20 19:53:23,556: INFO: common:created directory at: artifacts]
[2023-10-20 19:53:23,557: INFO: common:created directory at: artifacts/data_ingestion]
[2023-10-20 19:53:23,558: INFO: 84929902:Downloading data from https://drive.google.com/file/d/1tsyRtl3joEDI0wxU45PfeHb4_t-XRRK1/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2023-10-20 19:53:59,133: INFO: common:yaml file: config\config.yaml loaded successfully]
[2023-10-20 19:53:59,136: INFO: common:yaml file: params.yaml loaded successfully]
[2023-10-20 19:53:59,138: INFO: common:created directory at: artifacts]
[2023-10-20 19:53:59,140: INFO: common:created directory at: artifacts/data_ingestion]
[2023-10-20 19:53:59,142: INFO: 4182046305:Downloading data from https://drive.google.com/file/d/1tsyRtl3joEDI0wxU45PfeHb4_t-XRRK1/view?usp=share_link into file artifacts/data_ingestion/data.zip]
[2023-10-20 19:54:09,201: INFO: 4182046305:Downloaded data from https://drive.google.com/file/d/1tsyRtl3joEDI0wxU45PfeHb4_t-XRRK1/view?usp=share_link into file artifacts/data_ingestion/data.zip]
